Virtual,Offset,loc,Import,Imports,var,Forwarder,UINT,LONG,BOOL,WORD,BYTES,large,short,dd,db,dw,XREF,ptr,DATA,FUNCTION,extrn,byte,word,dword,char,DWORD,stdcall,arg,locret,asc,align,WinMain,unk,cookie,off,nullsub,DllEntryPoint,System32,dll,CHUNK,BASS,HMENU,DLL,LPWSTR,void,HRESULT,HDC,LRESULT,HANDLE,HWND,LPSTR,int,HLOCAL,FARPROC,ATOM,HMODULE,WPARAM,HGLOBAL,entry,rva,COLLAPSED,config,exe,Software,CurrentVersion,__imp_,INT_PTR,UINT_PTR,---Seperator,PCCTL_CONTEXT,__IMPORT_,INTERNET_STATUS_CALLBACK,.rdata:,.data:,.text:,case,installdir,market,microsoft,policies,proc,scrollwindow,search,trap,visualc,___security_cookie,assume,callvirtualalloc,exportedentry,hardware,hkey_current_user,hkey_local_machine,sp-analysisfailed,unableto
11,115,1297,12,0,649,3,12,3,12,19,204,38,1,612,987787,604,218,173,2,2,0,2,0,0,53,0,35,168,0,0,268,27,58,1,46,1,0,0,3,0,0,0,1,0,74,0,0,0,2,1,0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,47,83,5026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,246,10,0,433,0,13,4,17,19,2,0,0,42878,27302,4551,16,167,15,0,0,1,0,0,0,0,28,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
3,3,53,4,0,54,0,4,0,13,7,2,0,0,259,2504,123,57,1,2,0,0,1,0,0,1,0,12,0,0,0,48,0,32,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37,41,1517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2,8198,28,0,3806,7,2,10,16,6,299,127,798,3113,4157,3630,1267,287,77,540,0,90,67,0,117,0,228,2057,0,4,662,0,51,71,335,1,0,0,3,0,0,0,2,0,1330,0,0,0,0,4,0,1343,0,0,0,1,0,0,4,0,0,0,1,0,0,387,0,0,0,0,0,0,0,136,31251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,50,16,0,36,4,2,0,13,8,2,0,0,278,1593,186,78,1,2,0,0,1,0,0,0,0,9,0,0,0,72,0,33,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,16,36,1533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,43,15,0,46,4,2,0,9,9,3,0,0,277,784422,184,186,1,2,0,0,0,0,0,0,0,11,0,0,0,76,0,33,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,33,2621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,540,24,0,1450,6,11,9,23,13,18,1,9,3138,6927,1407,81,30,2,4,0,3,0,0,0,0,22,49,0,0,81,2,1,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,48,1944,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,3,678,20,0,591,5,8,5,20,20,7,0,7,6953,1132,211,59,0,2,0,0,0,0,0,0,0,25,0,0,0,60,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,15,3217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,45,16,0,33,4,6,0,12,8,2,0,0,264,1084,178,54,0,2,0,0,0,0,0,0,0,11,0,0,0,61,0,32,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,42,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,19,1198,19,0,455,5,2,2,3,4,27,74,0,1116,2935,631,569,77,2,2,0,1,2,0,66,0,7,251,0,0,301,0,62,44,135,0,6,0,10,0,0,0,0,0,193,0,0,0,0,0,0,101,0,0,0,0,0,0,167,0,0,0,1,0,0,2,0,0,0,0,0,0,123,21,7191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,147,1455,32,0,1851,8,14,5,36,32,257,3,5,866,8450,800,333,75,3,2,0,6,15,0,131,0,41,221,0,11,430,1,12,46,171,0,0,0,2,0,0,0,1,3,63,0,0,0,3,0,29,116,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,73,91,204025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,111,674,11,0,198,3,12,3,16,20,164,15,1,478,2072076,494,224,59,3,0,0,36,0,0,48,0,35,81,0,0,199,30,39,1,47,0,0,0,3,0,0,0,1,0,56,0,0,0,2,1,0,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,62,70,3562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6,382,8,0,497,0,9,2,11,11,3,13,4,54584,22760,4642,66,488,16,0,0,0,3,0,0,0,23,13,0,0,2987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0
16,151,1336,7,0,744,2,13,4,18,16,293,6,42,92435,78876,576,390,218,2,0,0,96,19,0,53,0,30,275,0,1,420,56,110,1,65,0,0,0,3,0,0,0,1,0,93,0,0,0,2,0,0,72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,87,106,5386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,6,30848,44,0,12694,8,76,30,114,192,759,5,14,4919,20608,13911,3700,1751,4,1444,0,165,42,0,481,0,552,5358,0,19,1347,0,104,342,1660,0,3,0,15,0,0,0,0,3,0,0,0,0,5,6,26,1174,0,0,0,2,0,0,85,0,0,0,4,41,7,59,0,0,0,0,0,0,0,530,126303,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
3,3,130,16,0,36,4,8,0,9,8,2,0,0,348,1036,155,76,0,2,0,0,0,0,0,0,0,12,0,0,0,58,0,29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,38,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,177,8,0,715,2,4,1,3,5,0,0,0,187,413829,203,59,70,2,0,0,0,0,0,0,0,8,4,0,0,72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,13,2303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,143,2221,8,0,1196,2,13,4,18,19,283,31,44,88686,80816,889,483,307,2,0,0,144,17,0,57,0,39,409,0,2,530,113,128,1,101,1,0,0,3,0,0,0,1,0,111,0,0,0,2,0,0,89,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,104,113,11251,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,18,16,0,13,4,7,0,10,8,2,0,0,216,1063,150,66,0,2,0,0,0,0,0,0,0,7,13,0,0,60,0,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,26,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,34,16,0,26,4,2,0,12,9,2,0,0,279,784339,158,194,1,2,0,0,1,0,0,0,0,9,2,0,0,74,0,38,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,38,2617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,6,3330,19,0,898,5,2,2,10,2,4,0,2,1138,1309490,4193,229,11,4,2,0,265,0,0,11,0,13,275,0,25,82,0,10,0,751,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,39,122,14563,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
14,116,1012,20,0,481,5,17,3,26,24,203,15,11,111566,19069,989,276,102,2,0,0,20,5,0,52,0,67,150,0,0,319,30,76,1,36,0,0,0,3,0,0,0,1,0,55,0,0,0,1,1,0,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,44,80,4283,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
3,3,36,16,0,41,4,5,0,10,7,2,0,0,256,1072,247,60,0,2,0,0,0,0,0,1,0,10,0,0,0,70,0,28,0,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,36,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,5309,20,0,3049,5,0,0,0,0,7,35,0,589,64130,2368,431,175,2,0,0,2,1,0,3,0,0,623,0,0,69,0,30,0,14,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,23587,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,5,917,4,0,220,0,27,1,8,10,85,0,15,331,504268,1180,310,20,6,164,3,64,12,0,11,0,10,348,0,0,24,0,268,0,254,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,145,0,0,0,0,0,0,0,0,0,0,1,0,0,37,0,0,0,0,0,0,0,23,11457,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
7,4,16,4,0,0,0,5,0,14,6,2,0,0,135,2383,5,57,2,3,0,0,0,2,0,0,0,19,0,0,0,34,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,11,1062,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,3,45,16,0,41,4,9,0,9,7,2,0,0,183,2824,179,104,0,3,0,2,0,0,0,0,0,12,0,0,1,117,0,37,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,43,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5,286,5,0,282,0,0,0,0,0,6,0,0,22293,14805,85,26,9,15,0,0,0,1,0,0,0,0,37,0,0,43,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0
32,168,2697,4,0,352,0,12,4,26,26,569,13,2,717,880519,711,336,342,2,0,0,9,1,0,125,0,45,125,0,1,403,11,56,1,26,0,0,0,3,0,0,0,1,0,69,0,0,0,1,1,0,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,65,244,8707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,712,22,0,563,6,0,8,12,4,7,1,4,20890,250781,249,62,0,2,0,0,0,0,0,0,0,16,5,0,0,52,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,34,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,87,620,12,0,316,3,11,4,16,16,200,0,14,480,2059451,319,188,153,2,0,0,49,10,0,24,0,21,160,0,0,222,22,90,1,21,0,0,0,3,0,0,0,1,0,1,0,0,0,2,0,0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,70,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,430,28,0,512,7,11,4,23,15,7,0,3,64926,1649,231,54,17,2,0,0,2,0,0,0,0,31,0,0,0,69,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,16,2058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,235,39,0,434,10,11,15,39,21,4,1,1,1046,23188,364,50,27,2,4,0,2,0,0,4,0,61,29,0,0,99,0,1,0,0,0,4,0,3,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,39,11,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,15,2428,16,0,559,4,2,1,10,10,16,15,0,761,3230,702,201,120,2,0,0,3,6,0,17,0,8,247,0,0,197,0,37,7,32,0,3,0,4,0,0,0,4,0,9,0,0,0,0,0,0,45,0,0,0,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,0,0,40,36,7929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7,3059,26,0,2275,7,8,23,8,10,21,16,72,2429,4457,2726,996,160,2,8,0,1,3,0,57,0,31,1035,0,1,564,0,91,0,301,1,4,0,10,0,0,0,0,0,316,0,0,0,1,0,0,257,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,221,80,18673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,750,28,0,1183,7,8,4,28,15,7,0,2,58222,988,224,54,25,2,0,0,1,0,0,0,0,31,0,0,0,64,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,14,3148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,111,710,12,0,237,3,12,3,15,20,165,12,1,487,1844346,424,220,59,2,2,0,1,0,0,50,0,36,79,0,0,203,18,24,1,49,0,0,0,3,0,0,0,1,0,60,0,0,0,1,1,0,46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60,73,3265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,505,20,0,1574,5,4,3,27,4,14,1,13,3200,4445,1503,60,29,2,4,0,3,0,0,0,0,19,48,0,0,52,1,1,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,41,1903,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,4,21,4,0,0,0,3,0,16,3,2,0,0,135,2387,4,59,2,3,0,0,0,2,0,0,0,17,1,0,0,36,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,11,1071,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,3,21,4,0,25,0,5,0,10,6,2,0,0,218,2466,68,37,0,2,0,0,0,0,0,1,0,10,0,0,0,27,0,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37,32,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,40,16,0,38,4,2,0,12,9,2,0,0,274,784363,171,191,1,2,0,0,1,0,0,0,0,9,0,0,0,76,0,35,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,32,2656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,354,12,0,1251,3,1,0,3,1,2,0,0,1559,76434,947,49,103,8,0,0,4,2,0,2,0,1,54,0,0,19,0,6,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,73,1853,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
12,4,172,9,0,291,0,13,4,17,19,4,3,2,13310,9250,1466,10,60,15,4,0,0,1,0,0,0,28,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
3,3,2548,16,0,1017,4,8,2,15,12,17,2,1,810,43130,1505,147,318,2,28,0,170,0,0,2,0,13,326,0,0,68,0,3,0,3,0,43,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,36,14,9609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,9,3468,23,0,850,6,43,11,128,43,13,1,0,1431,1458504,4756,426,9,2,6,0,275,0,0,44,0,61,86,0,1,517,8,6,0,1076,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,52,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,48,82,14235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6,411,5,0,853,0,2,2,4,7,5,3,5,40429,4814,755,36,114,15,4,0,8,1,0,0,0,14,13,0,0,346,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
3,3,35,16,0,40,4,2,0,12,9,2,0,0,276,784349,168,192,1,2,0,0,1,0,0,0,0,9,0,0,0,71,0,30,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,32,2658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,143,16,0,31,4,9,0,6,9,2,0,0,351,1070,169,74,0,2,0,0,0,0,0,0,0,8,0,0,0,68,0,35,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,40,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,88,681,24,0,392,6,24,6,56,42,168,0,10,100759,55756,668,186,17,4,0,0,17,33,0,28,0,60,76,0,0,265,40,5,1,25,0,0,0,3,0,0,0,1,0,3,0,0,0,2,0,0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33,66,2238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,164,6490,23,0,3918,4,24,8,30,36,19,183,0,1921,18785,2309,1026,695,4,18,0,14,10,0,21,0,25,1548,0,4,586,0,105,176,295,1,3,0,12,0,0,0,2,2,0,0,0,0,5,0,2,106,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,173,103,26424,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,168,2685,4,0,352,0,13,4,32,26,569,13,1,725,909162,723,334,342,3,0,0,6,1,0,126,0,43,124,0,1,402,11,54,1,26,0,0,0,3,0,0,0,1,0,69,0,0,0,1,1,0,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,189,110,8620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,39,16,0,32,4,6,0,13,7,2,0,0,256,1038,172,57,0,2,0,0,0,0,0,0,0,11,0,0,0,61,0,29,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,39,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,151,2346,31,0,4089,8,14,5,35,30,261,10,4,1149,25572,1084,395,328,3,2,0,22,26,0,182,0,50,1900,0,13,501,1,18,50,185,0,0,0,2,0,0,0,1,2,67,0,0,0,3,0,18,154,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,92,91,93099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,12,16,0,14,4,8,0,7,9,2,0,0,211,1062,109,93,0,2,0,2,0,0,0,0,0,8,0,0,1,37,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,21,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3,5112,49,0,1887,5,31,4,20,29,12,105,0,1150,8957,1623,643,325,43,10,0,30,4,0,62,0,33,902,0,7,409,0,59,0,221,2,4,0,3,0,0,0,0,0,6,0,0,0,2,5,6,53,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,57,101,20153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,111,663,7,0,206,2,11,3,14,16,163,12,1,489,2248977,614,183,73,2,0,0,1,0,0,45,0,27,81,0,0,205,18,21,1,44,0,0,0,3,0,0,0,1,0,53,0,0,0,2,1,0,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,72,3058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,254,10,0,280,0,12,4,17,19,4,21,10,73659,32264,6752,104,658,15,2,0,1,0,0,0,0,28,13,0,0,4308,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0
