byte_filesize,byte_offset
1557555,4198400
271286,4198400
1118448,4198400
69596,4198400
690289,4198400
1111818,4198400
430702,354095104
239869,1598361600
1639575,4198400
267613,4198400
1560973,4198400
237941,4198400
113642,4198400
217953,4198400
131890,4198400
102937,4198400
1559185,4198400
175798,4198400
2737260,4198400
1004154,4198400
545836,1744048128
1757686,4198400
1559309,4198400
136535,4198400
269256,4198400
1559358,4198400
340059,268439552
1763576,4198400
161901,4198400
441465,268439552
136869,4198400
1560988,4198400
1491994,4198400
124138,4198400
135155,4198400
1497746,4198400
222870,4198400
2257517,4198400
1759294,4198400
1489672,4198400
161509,1887965184
103803,4198400
2735083,4198400
1627962,4198400
1561622,4198400
182798,4198400
1491683,4198400
204766,4198400
1491940,4198400
241250,4198400
221877,4198400
243268,4198400
1552991,4198400
2223878,4198400
245223,4198400
565672,268439552
1559235,4198400
1556238,4198400
419152,268439552
123657,4198400
2014879,4198400
2734819,4198400
1604062,4198400
273325,4198400
1596959,4198400
1494908,4198400
1561368,4198400
1684827,4198400
1790993,4198400
1778270,4198400
122839,4198400
166675,268439552
1639567,4198400
1685382,4198400
105837,4198400
1819441,4198400
1560951,4198400
1559090,4198400
258283,4198400
1505426,4198400
1561034,4198400
156278,4198400
1491876,4198400
200554,4198400
163302,1770000384
218314,4198400
1560312,4198400
1900264,4198400
2736770,4198400
2734467,4198400
140512,4198400
1009261,50335744
1553589,4198400
2041874,4198400
164647,1795686400
1489680,4198400
1560743,4198400
1553476,4198400
1492391,4198400
122149,4198400
1490026,4198400
274493,4198400
125999,4198400
524277,1871450112
1557388,4198400
1559439,4198400
1560571,4198400
124177,4198400
1810861,4198400
328016,268435456
241073,4198400
2736852,4198400
239184,4198400
676118,5705728
1561210,4198400
1639493,4198400
1559143,4198400
198476,268439552
1560999,4198400
1781393,4198400
1810351,4198400
476502,4198400
160498,268439552
139645,4198400
1556379,4198400
1271993,4096
158188,16781312
2102672,4198400
221545,4198400
913408,4198400
1393098,4198400
219988,4198400
1972857,4198400
1558326,4198400
249857,4198400
1558553,4198400
1560169,4198400
1200076,4198400
1560452,4198400
101964,4198400
133007,4198400
575987,4198400
219091,4198400
806602,4198400
1456817,4198400
2737302,4198400
134599,4198400
363329,4198400
1560699,4198400
135908,4198400
138761,4198400
205430,4198400
1561715,4198400
1488522,4198400
1112036,4198400
1561774,4198400
143564,4198400
997297,268439552
3202637,4198400
212472,4198400
251915,4198400
503483,4198400
135836,4198400
1559250,4198400
629283,4198400
273286,4198400
1912902,4198400
1553777,4198400
1560244,4198400
229564,1660686336
1560355,4198400
1557693,4198400
1765325,4198400
139842,4198400
1560857,4198400
1560949,4198400
1203390,4198400
126161,4198400
238212,4198400
1560959,4198400
1561830,4198400
472263,4198400
1492578,4198400
313836,0
2084180,4198400
139668,4198400
489035,4198400
1136930,4198400
1559875,4198400
1507148,4198400
996957,268439552
1560073,4198400
787761,4198400
1639922,4198400
104213,4198400
1553453,4198400
1096474,4198400
163355,4198400
247199,4198400
661234,4198400
1558297,4198400
1142080,4198400
258167,4198400
1561827,4198400
1769897,4198400
234811,4198400
2735303,4198400
799635,4198400
1557120,4198400
1557424,4198400
138179,4198400
248897,4198400
1505863,4198400
1559644,4198400
167560,1736970240
752398,4198400
124338,4198400
137371,4198400
349120,4198400
200939,268435456
2201060,4198400
2200388,4198400
1561087,4198400
1885064,4198400
2024405,4198400
139697,4198400
1124695,4198400
178529,4198400
1638785,16781312
1995629,4198400
1127648,4198400
303404,4198400
1556151,4198400
892579,16781312
2084492,4198400
132877,1817972736
183431,4198400
1561035,4198400
611210,4198400
1560991,4198400
1492832,4198400
259887,4198400
57214,268439552
1271225,4198400
260592,4198400
1130068,4198400
258843,4198400
161295,1727725568
1142099,4198400
126360,4198400
992821,4198400
1488783,4198400
1664986,4198400
1639692,4198400
219837,268439552
1198627,4198400
1560609,4198400
1619554,4198400
390012,268439552
32080,4198400
823739,4198400
484363,4198400
796119,4198400
2736338,4198400
261531,4198400
920635,4198400
1557112,4198400
135662,4198400
258360,4198400
518467,268439552
774194,4198400
258061,4198400
259977,4198400
1764145,4198400
1559080,4198400
1554010,4198400
1561141,4198400
342597,268439552
1492203,4198400
1855426,4198400
1100716,4198400
1560502,4198400
250533,4198400
836832,4198400
2261593,4198400
108829,4198400
260896,4198400
1559369,4198400
838479,4198400
266646,4198400
238435,1877217280
1978804,4198400
1553553,4198400
265176,4198400
1534598,4198400
1792050,4198400
1560406,4198400
1560629,4198400
178085,268439552
2507899,4198400
1558407,4198400
1639811,4198400
126520,4198400
261419,4198400
1561521,4198400
1372426,4198400
157768,268435456
968832,4198400
1556636,4198400
439159,4198400
1696289,4198400
136674,4198400
158354,268439552
1561718,4198400
164623,268439552
1789671,4198400
821868,4198400
791610,4198400
115377,4198400
194328,4198400
1815567,4198400
1557544,4198400
1557545,4198400
174428,268439552
1559213,4198400
1745212,4198400
817650,4198400
139728,4198400
1081967,4198400
1505655,4198400
1559018,4198400
2735899,4198400
1558906,4198400
1492194,4198400
1962900,4198400
667112,4198400
214608,4198400
1789184,4198400
120467,4198400
1751068,4198400
1585288,4198400
268980,4198400
291860,4198400
123951,4198400
1557211,4198400
259692,4198400
2736428,4198400
1488482,4198400
1559440,4198400
143516,4198400
260341,4198400
1556447,4198400
1911809,4198400
428156,268439552
385694,4198400
1558040,4198400
1561379,4198400
1553345,4198400
175871,4198400
489123,268439552
1560876,4198400
1558495,4198400
1505258,4198400
2069278,4198400
118990,4198400
1558503,4198400
1080504,4198400
1557984,4198400
830764,4198400
1561374,4198400
413006,268439552
1802778,4198400
1029742,4198400
744054,4198400
1492649,4198400
139714,4198400
1560770,4198400
1553454,4198400
2217657,4198400
1560925,4198400
2633044,4198400
1144158,4198400
458990,2084306944
124360,268439552
208223,4198400
135875,4198400
123529,4198400
126334,4198400
124648,4198400
1560573,4198400
1559397,4198400
1124857,4198400
370269,268439552
136891,4198400
139799,4198400
1557725,4198400
160638,268439552
177636,268439552
167315,4198400
257496,4198400
527301,1690046464
1560766,4198400
1516273,4198400
218859,1829765120
135743,4198400
992274,4198400
1561627,4198400
237599,4198400
1366369,4198400
2733517,4198400
622163,4198400
269728,4198400
222422,4198400
2736002,4198400
428165,268439552
1553350,4198400
271915,4198400
89705,4198400
260020,4198400
1796887,4198400
1560677,4198400
124284,4198400
954731,746590208
275253,268439552
1639740,4198400
160366,16781312
1560687,4198400
1560157,4198400
1561570,4198400
160318,1697386496
164902,268439552
1439201,4198400
139722,4198400
260682,4198400
1561452,4198400
2065875,4198400
1789676,4198400
2493385,4198400
1561049,4198400
1137083,4198400
135573,4198400
1114601,4198400
39509,4198400
274780,4194304
244058,4198400
135780,4198400
153073,4198400
474801,1334382592
1505820,4198400
2004060,4198400
1492451,4198400
1554125,4198400
1553415,4198400
114440,4198400
1116707,4198400
1790745,4198400
1492368,4198400
217048,4198400
137863,4198400
788364,4198400
211259,268439552
180530,4198400
161130,4198400
114539,4198400
553568,268439552
1584624,4198400
204698,4198400
231654,4198400
830778,1575161856
1560982,4198400
1489379,4198400
1556851,4198400
289354,4198400
266523,4198400
1553362,4198400
1477998,4198400
261642,4198400
1553949,4198400
1310136,4198400
1732143,4198400
1817087,4198400
1559270,4198400
649351,268439552
1639632,4198400
1558742,4198400
262324,4198400
231310,268439552
1560305,4198400
1760763,4198400
493579,268439552
129007,4132864
2134500,4198400
1558532,4198400
586429,4198400
1788453,4198400
135778,4198400
1912535,4198400
161754,1727729664
1505551,4198400
675406,4198400
1560712,4198400
1127842,4198400
988726,4198400
3378570,4198400
103083,4198400
61013,4198400
580106,4198400
1558802,4198400
1081588,2081689600
187936,268439552
1560919,4198400
2127145,4198400
2028405,4198400
1639546,4198400
1560705,4198400
138840,4198400
249739,4198400
158919,1871450112
264748,4198400
1690038,4198400
202334,268435456
272152,4198400
1313519,4198400
1823578,4198400
1559224,4198400
1553566,4198400
1554119,4198400
1552830,4198400
1560176,4198400
1857893,4198400
323301,4198400
144767,4198400
1086232,4198400
1559643,4198400
99888,268439552
178354,4198400
1416311,4198400
92912,4198400
1736989,4198400
244907,4198400
322847,337645568
267158,4198400
1787060,4198400
137253,4198400
1561285,4198400
135242,4198400
363872,16777216
1561584,4198400
346983,4198400
178047,1631588352
1560573,4198400
268886,4198400
262561,4198400
383879,268439552
230140,4198400
1558251,4198400
1944267,4198400
191280,1650200576
1055083,4198400
204951,4198400
159583,268439552
373472,4198400
1852010,4198400
2053816,4198400
251994,4198400
1490041,4198400
2500435,4198400
1560926,4198400
1558137,4198400
1560591,4198400
1560770,4198400
2735829,4198400
136997,4198400
341430,1619329024
152223,268439552
1012535,268439552
1559692,4198400
211825,4198400
1707459,4198400
2737302,4198400
1553973,4198400
132322,4198400
354423,16781312
1911483,4198400
1795236,4198400
1552995,4198400
1785483,4198400
102399,4198400
144861,1830817792
252759,4198400
1560610,4198400
261986,4198400
136039,4198400
1505867,4198400
1639815,4198400
1757086,4198400
222411,4198400
2736256,4198400
1561176,4198400
491317,4198400
2945285,4198400
233926,4198400
203622,4198400
1913737,4198400
199927,184553472
300200,268435456
697086,4198400
767371,4198400
1558163,4198400
136066,4198400
2302090,4198400
254793,1631125504
1746491,4198400
2736081,4198400
139835,4198400
1880391,4198400
1782587,4198400
2618624,4198400
1797464,4198400
2752344,4198400
125711,4198400
233463,4198400
248693,4198400
194005,1845497856
149841,1709248512
2841685,4198400
201308,4198400
1540294,4198400
2734829,4198400
1491685,4198400
1590670,4198400
1561515,4198400
1769552,4198400
201032,268435456
760514,268439552
123218,4198400
129119,4198400
329543,4194304
112552,268439552
1107394,4198400
489426,268439552
162691,4198400
644970,16781312
1905752,4198400
2085844,4198400
233850,4198400
104154,4198400
1559280,4198400
2093125,4198400
1557619,4198400
1768491,4198400
1556939,4198400
262941,4198400
1676095,4198400
1135646,4198400
1720636,4198400
1492467,4198400
2984539,4198400
2735264,4198400
143597,268439552
148916,4198400
495395,268439552
1099363,4198400
2734992,4198400
240320,1598361600
1556081,4198400
1764642,4198400
1800130,4198400
1560335,4198400
1553265,4198400
197674,268439552
2735500,4198400
1559129,4198400
1556359,4198400
1857426,4198400
486335,268439552
211654,4198400
125345,4198400
1559735,4198400
242637,4198400
2024449,4198400
616875,1192038400
499952,268439552
365484,268439552
258619,4198400
93317,4198400
1558084,4198400
1623433,4198400
1639570,4198400
536428,4198400
1561061,4198400
2736760,4198400
1319821,4198400
1558683,4198400
140634,4198400
257518,268439552
677618,4198400
135066,268439552
2114662,4198400
1639415,4198400
140577,4198400
272387,4198400
139516,4198400
2736846,4198400
1135431,4198400
124575,4198400
1560496,4198400
1560600,4198400
133016,4198400
796559,4198400
2735705,4198400
191956,4198400
211256,268439552
1734523,4198400
245717,4198400
308895,78319616
1639642,4198400
272313,1140854784
1560706,4198400
1558395,4198400
142506,4198400
795801,4198400
1130670,4198400
633955,4198400
164705,4198400
1552944,4198400
1770142,4198400
48981,268439552
190100,4198400
1109435,4198400
1505462,4198400
1742335,4198400
245411,4198400
1560912,4198400
697644,4198400
1554063,4198400
221938,4198400
167934,4198400
266309,4198400
2737571,4198400
612805,4198400
1492257,4198400
57900,268439552
680609,4198400
499909,4198400
2054580,4198400
1558238,4198400
285719,4198400
164738,4198400
1560198,4198400
270055,4198400
1559365,4198400
2751990,4198400
1136479,4198400
1499341,268439552
138386,4198400
1489367,4198400
1560678,4198400
272341,4198400
497032,268439552
1558247,4198400
1561301,4198400
1553519,4198400
1561562,4198400
1695124,4198400
217303,4198400
1201459,4198400
492407,268439552
1561622,4198400
1722739,4198400
1561912,4198400
215247,4198400
1489556,4198400
508395,4198400
1558317,4198400
260641,4198400
1561587,4198400
289313,4198400
1639773,16781312
294108,268439552
2734972,4198400
1100757,4198400
263641,533270528
107282,4198400
160746,4198400
140370,4198400
1560375,4198400
1889097,4198400
392636,4198400
178442,4198400
1557912,4198400
613870,4198400
1138502,4198400
193209,268439552
282403,4194304
272286,4198400
196440,4198400
556511,268439552
1696426,4198400
276763,4198400
1013060,4198400
2970994,4198400
1505489,4198400
1111144,4198400
1557718,4198400
1469819,4198400
1559559,4198400
1212109,270667776
206867,4198400
129510,4198400
1560923,4198400
2014656,4198400
2136772,4198400
234678,268435456
1936010,4198400
1754499,4198400
1560898,4198400
2061467,4198400
159962,4198400
191564,1733824512
246977,4198400
1961601,4198400
323213,1174409216
259264,4198400
395996,4198400
1787588,4198400
124154,4198400
465688,268439552
1960707,4198400
123875,4198400
2079481,4198400
159270,268439552
557318,1930825728
1108681,4198400
1560465,4198400
815809,4198400
2412691,4198400
1459017,4198400
137921,4198400
86770,4198400
1467693,4198400
2735269,4198400
367983,1835667456
441900,4198400
1506031,4198400
258173,4198400
1560521,4198400
107199,4198400
1143560,4198400
126432,4198400
1553316,4198400
217122,4198400
1106491,4198400
1560549,4198400
248296,4198400
1977921,4198400
184127,4198400
1493003,4198400
1560782,4198400
2735493,4198400
2737285,4198400
1560395,4198400
1593214,4198400
960972,4198400
1091690,4198400
152203,4096
1430630,4198400
937214,268439552
1560531,4198400
1558406,4198400
1844250,4198400
240713,1830096896
1560101,4198400
3463635,4198400
1560541,4198400
1133994,4198400
250608,4198400
431486,4096
155746,268439552
2501824,4198400
218101,4198400
312980,268439552
134871,4198400
103801,4198400
258572,4198400
219907,4198400
1505695,4198400
2161428,4198400
1313347,4198400
1131423,4198400
197147,4198400
1558339,4198400
258261,4198400
139840,4198400
225484,4198400
207659,1518866432
2125363,4198400
1492326,4198400
133473,4198400
249598,4198400
1557283,4198400
166213,1687556096
1561011,4198400
1556575,4198400
839292,4198400
232654,4198400
1721943,4198400
1811151,4198400
1560784,4198400
1132826,4198400
1558334,4198400
2395155,4198400
266046,4198400
309508,1545015296
1560901,4198400
1125111,4198400
138192,4198400
272456,4198400
908431,4198400
162920,1787564032
128321,4198400
245683,0
1558136,4198400
1295277,4198400
1559374,4198400
1104316,4198400
1705998,4198400
47894,4198400
182289,4198400
1559305,4198400
332517,268435456
1318193,4198400
349752,4198400
1561368,4198400
1561082,4198400
133482,4198400
1560563,4198400
2003598,4198400
227411,4198400
280131,4198400
1557125,4198400
167143,1681391616
178543,4198400
1553816,4198400
1478016,4198400
126271,4198400
215802,4198400
1628882,4198400
154255,1929842688
1556822,4198400
1556766,4198400
243406,4198400
167964,1831931904
1558679,4198400
624303,4198400
2202568,4198400
195867,268439552
672371,4198400
195031,4198400
2033307,4198400
533980,0
177493,4198400
1560827,4198400
1558445,4198400
836661,4198400
1783486,4198400
379433,268439552
1077079,4198400
787960,4198400
1560943,4198400
139547,4198400
182054,4198400
326736,4194304
1743125,4198400
1553559,4198400
2355735,4198400
3348003,4198400
1558295,4198400
256693,4198400
220759,4198400
266648,4198400
246156,268439552
1557552,4198400
1136270,4198400
222723,4198400
1559696,4198400
1083576,4198400
241531,4198400
1771785,4198400
1558065,4198400
1679626,4198400
1553302,4198400
1732587,4198400
1112361,4198400
126068,4198400
2736712,4198400
1560376,4198400
1944020,4198400
122397,268439552
191585,1869615104
204120,1763774464
1783016,4198400
221645,4198400
2252039,4198400
1693856,4198400
171151,1686900736
1296726,4198400
1560876,4198400
492383,268439552
1558419,4198400
788546,4198400
656721,4198400
1560831,4198400
135775,4198400
1394649,4198400
160399,268439552
2736827,4198400
238173,4198400
2398937,4198400
122068,4198400
441670,1809321984
126418,4198400
1491879,4198400
1879219,4198400
1560338,4198400
1560591,4198400
2736340,4198400
1560524,4198400
1109335,4198400
1559256,4198400
1553333,4198400
1560949,4198400
79539,4198400
1560880,4198400
1560414,4198400
1955157,4198400
1559824,4198400
125345,4198400
844557,4198400
30350,4198400
1997641,4198400
3442102,4198400
1560857,4198400
1489390,4198400
282335,1675890688
134660,268439552
165338,4198400
520971,4198400
227278,4194304
1780451,4198400
1560400,4198400
130443,286199808
1639516,4198400
1560047,4198400
1793228,4198400
1639177,4198400
72775,184553472
150289,4198400
1639759,4198400
1559067,4198400
178535,4198400
1558144,4198400
1558373,4198400
1639597,4198400
304085,4198400
1866313,4198400
258066,268439552
216246,4198400
250555,4198400
188185,268439552
1639684,4198400
2639060,268439552
1558024,4198400
1880871,4198400
1793685,4198400
124148,4198400
334532,1738805248
1559235,4198400
128894,4198400
54462,268439552
236500,4198400
1560643,4198400
285510,1365643264
1552977,4198400
246407,4198400
1492334,4198400
240774,4198400
2733412,4198400
501261,268439552
137216,268439552
1556349,4198400
1932266,4198400
1559597,4198400
2735935,4198400
803619,4198400
211391,268439552
1561048,4198400
139551,4198400
1122926,4198400
287241,268439552
303734,4198400
2203921,4198400
2737371,4198400
2200761,4198400
1639642,4198400
1559029,4198400
25944,268439552
1554020,4198400
1561308,4198400
3137730,4198400
1558201,4198400
2020183,4198400
216928,1655181312
103708,4198400
1278216,4198400
1810912,4198400
160673,4198400
1558983,4198400
237235,268439552
204187,4198400
771214,1063587840
275435,4198400
239122,4198400
1561149,4198400
1914243,4198400
127886,4198400
1639688,4198400
540325,4198400
1738871,4198400
1649677,4198400
1558839,4198400
223125,4198400
102721,4198400
1488520,4198400
149370,268439552
1558589,4198400
243497,1598361600
150241,268439552
1666381,4198400
847729,4198400
94442,268439552
169446,1717571584
1783741,4198400
2735631,4198400
207927,1752436736
228828,4198400
335675,4198400
1674860,4198400
227561,4198400
140589,4198400
159660,1518997504
2736694,4198400
405709,0
1561715,4198400
1797075,4198400
1560905,4198400
1492267,4198400
209652,4198400
2735364,4198400
2007815,4198400
1560091,4198400
2109278,4198400
510008,4198400
1553434,4198400
1128791,4198400
1561806,4198400
1553710,4198400
143458,1612845056
174591,268439552
1561136,4198400
518815,4198400
157710,1687687168
1553931,4198400
2733432,4198400
1658493,4198400
136816,4198400
1200722,4198400
135831,4198400
760891,4198400
150181,4198400
266522,4198400
1124335,4198400
1559658,4198400
1558408,4198400
179201,4198400
230462,268439552
1639570,4198400
258586,4198400
1119968,4198400
1560992,4198400
218562,1836912640
126348,4198400
1492758,4198400
2150199,4198400
516286,4198400
157888,4198400
1559307,4198400
1559214,4198400
2737230,4198400
802596,4198400
1558553,4198400
1560714,4198400
138251,4198400
1559957,4198400
439151,4198400
268767,4198400
2182047,4198400
1103020,4198400
1553546,4198400
1492523,4198400
675913,4198400
1722768,4198400
286047,535302144
1559529,4198400
117293,4198400
140287,4198400
884580,4198400
136110,4132864
261614,117444608
393604,4194304
1577787,4198400
240638,4198400
826267,4198400
158829,1630343168
1553767,4198400
1560929,4198400
1746476,4198400
1639678,4198400
1128195,4198400
1559143,4198400
671697,4198400
3158810,4198400
197037,4198400
1859857,4198400
192240,4198400
1287280,4198400
1556268,4198400
136983,4198400
1552640,4198400
136313,1983188992
218542,268439552
3442348,4198400
1784661,4198400
1558435,4198400
1559394,4198400
1490008,4198400
138829,4198400
1958214,4198400
267262,4198400
231057,4198400
1558005,4198400
1863159,4198400
251219,268439552
783707,4198400
405517,268439552
497059,268439552
785959,4198400
1558519,4198400
499742,268439552
1559213,4198400
1491989,4198400
452152,4001792
1505303,4198400
1556549,4198400
1853173,4198400
1560133,4198400
115183,4198400
261310,4198400
145578,1834356736
293878,1929580544
271798,4198400
136483,4198400
136722,4198400
261301,4198400
1979090,4198400
1077367,4198400
1781370,4198400
135866,4198400
2736896,4198400
424159,4198400
1605350,4198400
1558191,4198400
498229,268439552
1050142,4198400
1560501,4198400
1491888,4198400
1868674,4198400
243838,4198400
187472,4198400
1668643,4198400
171789,268439552
1558761,4198400
225526,4198400
1841810,4198400
201136,4198400
2728142,4198400
213871,4198400
1335337,1613959168
1378945,4198400
1560751,4198400
2737209,4198400
179364,4198400
1630167,4198400
285829,4198400
784887,4198400
124714,4198400
1663983,4198400
246609,1756368896
1287021,4198400
213671,4198400
1671071,4198400
422821,4198400
920465,4198400
655516,4198400
135481,4198400
134730,4198400
1024295,4198400
187688,1797787648
1560966,4198400
141018,33558528
213965,4198400
345394,268439552
2733564,4198400
1113709,4198400
170554,4198400
220706,4198400
2736907,4198400
1108545,4198400
137994,4198400
1687130,4198400
3379180,4198400
104248,4198400
232735,4198400
1561349,4198400
1676986,4198400
672280,4198400
1687558,4198400
2031077,4198400
497170,268439552
139391,4198400
1127816,4198400
1561066,4198400
213659,4198400
970316,4198400
1203631,4198400
205001,4194304
132348,4198400
1640219,4198400
1560380,4198400
1505492,4198400
135213,4198400
235313,4198400
185522,2099318784
263038,1303646208
1560710,4198400
997331,268439552
1686076,4198400
1561132,4198400
198357,1625493504
1040685,4198400
1506058,4198400
139406,4198400
215949,4198400
748144,4198400
217943,4198400
265990,4198400
675734,4198400
1561284,4198400
2737947,4198400
163846,1694502912
250622,4198400
1560274,4198400
174995,268439552
139707,4198400
213439,4198400
190249,16781312
1560396,4198400
136137,4198400
1505576,4198400
111290,4198400
1489567,4198400
247395,4198400
1984800,4198400
1930224,4198400
487702,4198400
1560491,4198400
1559247,4198400
486999,268439552
750664,2014515200
123284,4198400
676514,4198400
198907,16781312
121534,268439552
170569,4198400
217805,4198400
1561533,4198400
1559041,4198400
210578,4194304
825009,4198400
2736227,4198400
1506182,4198400
2735855,4198400
318448,4198400
2735947,4198400
220002,4198400
774405,4198400
1769820,4198400
2173673,4198400
1491826,4198400
1560836,4198400
1792134,4198400
1560916,4198400
172744,1863323648
1556699,4198400
1492192,4198400
1086194,268435456
1552939,4198400
122659,4198400
226358,4198400
160382,1993084928
178145,4198400
175919,1833832448
1558360,4198400
1512790,4198400
1560924,4198400
1558237,4198400
363833,4198400
1110730,4198400
1790942,4198400
1488630,4198400
1505325,4198400
1557079,4198400
1739145,4198400
1559863,4198400
1492739,4198400
395372,268439552
2104311,4198400
126890,4198400
1489454,4198400
178832,268439552
1560460,4198400
262218,4198400
1010838,4198400
1558503,4198400
486549,4198400
2806308,4198400
1560170,4198400
115456,4198400
2271550,268439552
136334,4198400
225665,4198400
855148,4198400
311086,1298993152
148005,1836650496
1763108,4198400
1505587,4198400
1553423,4198400
1132777,4198400
248878,268439552
1558670,4198400
220740,4198400
1553730,4198400
641528,4198400
364767,268439552
849869,4198400
1761442,4198400
1560622,4198400
2145787,4198400
1129272,4198400
401910,268435456
1105826,4198400
1558202,4198400
1491992,4198400
1559759,4198400
203034,1833439232
1644227,4198400
1557299,4198400
215176,4198400
587996,4198400
468011,2083917824
221244,4198400
214956,16781312
1639325,16781312
1139746,4198400
1561726,4198400
1610841,4198400
518292,4198400
54819,4198400
193643,268439552
136317,4198400
1122525,4198400
212313,4198400
212902,4198400
1561070,4198400
1556994,4198400
1794648,4198400
1605065,4198400
167048,1883766784
1990487,4198400
305119,4198400
2737017,4198400
1850228,4198400
499083,268439552
1488654,4198400
1561073,4198400
258687,4198400
128766,4198400
1558459,4198400
1152362,268439552
1553566,4198400
1667043,4198400
1785845,4198400
1560856,4198400
2124088,4198400
1560916,4198400
1962245,4198400
499403,268439552
1560122,4198400
373664,1603342336
1560618,4198400
136427,4198400
1639666,16781312
162678,1754533888
1561023,4198400
269029,4198400
1592340,4198400
1620472,4198400
1558499,4198400
1007909,4198400
401982,268439552
132501,4198400
1553609,4198400
104202,4198400
213890,1826553856
785266,4198400
149334,1834291200
1640292,4198400
1558381,4198400
239643,4198400
1557416,4198400
499373,268439552
1954173,4198400
1559331,4198400
375553,268439552
176513,268439552
192999,4198400
1553374,4198400
134733,4198400
1553205,4198400
731613,268439552
1117894,4198400
1492152,4198400
810691,4198400
145590,268439552
1492561,4198400
1558238,4198400
127089,4198400
2057372,4198400
174381,4198400
555722,4198400
1553470,4198400
1561611,4198400
2737054,4198400
1752383,4198400
1553867,4198400
124677,4198400
1560169,4198400
1801034,4198400
1559789,4198400
174276,4198400
1795415,4198400
2736897,4198400
1363730,4198400
1138561,4198400
139593,4198400
125183,4198400
1433251,4198400
827450,83890176
360466,268439552
1995204,4198400
1557981,4198400
201087,4198400
1199006,4198400
260105,4198400
1559643,4198400
121429,4198400
1661975,4198400
1963911,4198400
1639593,4198400
2023146,4198400
1748691,4198400
1553967,4198400
162220,268439552
29418,2027819008
329661,4198400
2174784,4198400
244639,4198400
627526,4198400
163682,4198400
494588,4198400
124126,4198400
1557473,4198400
1560860,4198400
319010,268439552
1560797,4198400
2160862,4198400
1492792,4198400
2363340,4198400
1134635,4198400
862238,4198400
140407,4198400
917142,4198400
1489820,4198400
201744,4198400
1553555,4198400
225564,4198400
1561391,4198400
736452,4198400
138372,2147487744
2052148,4198400
1556532,4198400
219982,4198400
139730,4198400
175833,4198400
1561047,4198400
1134736,4198400
1429426,4198400
2045710,4198400
138476,4198400
1980487,4198400
1558712,4198400
223023,4198400
1953663,4198400
124976,4198400
158405,268439552
703974,4198400
2501381,4198400
1505597,4198400
1679885,4198400
1491551,4198400
199697,268439552
140760,4198400
144283,1836650496
135710,4198400
117692,268439552
119578,4198400
1559577,4198400
157222,268439552
1554064,4198400
163577,268439552
1559936,4198400
167349,1884819456
259596,4198400
179126,4198400
684693,268439552
2037915,4198400
192389,4198400
1560871,4198400
1204505,4198400
801222,4198400
1560971,4198400
171148,4198400
132136,4198400
349497,1835667456
2736415,4198400
172802,4198400
219421,4198400
504801,4198400
1120352,4198400
1553502,4198400
